StaffID,Age,Gender,Department,Role,StoreRegion,EmploymentType,ShiftType,WeeklyHours,HourlyWage,TenureMonths,ManagerRating,TrainingHoursLastYear,CommuteMinutes,EngagementScore,CustomerSatRating
1,37,Female,Warehouse,Warehouse Worker,West Coast,Full-Time,Rotating,50,18.73,94,4,28,34,4.7,
2,43,Female,Sales Floor,Cashier,Southeast,Full-Time,Morning,50,22.38,139,3,7,68,4.6,4.4
3,63,Non-Binary,Supply Chain,Procurement Analyst,Southwest,Full-Time,Afternoon,45,29.96,234,5,32,63,7.3,
4,50,Non-Binary,Customer Service,Call Center Agent,Midwest,Part-Time,Afternoon,25,16.94,119,1,2,38,5.3,4.4
5,42,Non-Binary,Warehouse,Warehouse Worker,Southeast,Full-Time,Rotating,40,22.98,84,1,35,23,4.0,
6,34,Female,Customer Service,Returns Specialist,Southeast,Full-Time,Morning,40,20.09,148,3,6,49,5.5,4.1
7,63,Female,Finance,Payroll Specialist,Southwest,Full-Time,Morning,40,32.48,59,4,13,20,6.4,
8,57,Female,Sales Floor,Store Associate,Southwest,Part-Time,Evening,30,26.2,214,3,19,5,5.5,4.6
9,33,Non-Binary,Warehouse,Warehouse Worker,Southeast,Full-Time,Morning,40,18.25,32,1,28,82,4.2,
10,50,Male,Marketing,Digital Marketing Specialist,West Coast,Full-Time,Evening,40,32.43,170,2,17,38,6.1,
11,59,Non-Binary,Supply Chain,Buyer,Northeast,Full-Time,Rotating,40,28.25,236,4,40,46,7.4,
12,22,Female,Marketing,Digital Marketing Specialist,Southwest,Part-Time,Evening,25,38.0,4,3,37,12,6.7,
13,30,Female,Warehouse,Receiving Clerk,Midwest,Full-Time,Morning,40,14.14,103,3,14,7,4.0,
14,36,Male,IT,IT Support,Northeast,Full-Time,Afternoon,45,31.13,31,4,29,50,5.5,
15,63,Male,IT,IT Manager,West Coast,Part-Time,Rotating,25,39.05,189,3,0,57,6.3,
16,31,Female,Customer Service,CS Representative,Midwest,Full-Time,Morning,35,26.39,132,2,10,61,5.5,3.7
17,22,Female,Customer Service,CS Manager,West Coast,Full-Time,Evening,50,17.45,21,3,26,11,3.9,3.7
18,61,Male,IT,Systems Administrator,Northeast,Full-Time,Rotating,40,42.89,53,3,22,9,6.6,
19,32,Male,Sales Floor,Visual Merchandiser,Southwest,Part-Time,Afternoon,25,27.42,24,4,24,61,6.5,2.6
20,28,Non-Binary,Warehouse,Forklift Operator,Midwest,Full-Time,Morning,40,20.24,81,5,17,33,6.8,
21,53,Female,Marketing,Marketing Manager,Southwest,Part-Time,Morning,30,27.51,171,5,2,47,7.2,
22,40,Male,Finance,Controller,Midwest,Part-Time,Evening,25,24.74,86,4,0,49,5.3,
23,53,Non-Binary,Customer Service,Returns Specialist,Northeast,Full-Time,Rotating,45,17.34,103,2,21,80,3.8,2.7
