EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,OverTime,DistanceFromHome,Education,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,NumCompaniesWorked,TrainingTimesLastYear,StockOptionLevel,PercentSalaryHike,EngagementScore,Attrition
1,37,Male,Single,Marketing,Marketing Analyst,3,9045,7,2,1,8,No,14,2,3,1,1,2,4,3,3,2,23,6.8,No
2,43,Female,Married,HR,Recruiter,3,10307,8,2,3,16,Yes,3,4,3,1,4,1,3,9,6,2,20,5.5,Yes
3,40,Female,Single,Engineering,QA Engineer,1,3084,2,0,0,10,No,45,1,3,3,2,2,2,7,3,2,25,4.1,No
4,25,Female,Married,Sales,Sales Manager,4,10406,1,0,1,6,Yes,30,2,3,3,2,3,4,9,3,2,14,4.4,No
5,25,Non-Binary,Married,Engineering,Engineering Manager,1,3825,0,0,0,4,No,36,1,3,1,1,3,3,1,2,3,13,5.5,Yes
6,33,Male,Divorced,Operations,Facilities Coordinator,5,18270,8,1,4,8,No,39,3,3,2,1,3,3,3,0,1,25,4.0,No
7,26,Non-Binary,Married,Engineering,QA Engineer,2,5979,4,1,1,5,No,35,2,4,2,4,3,4,8,3,0,14,4.7,Yes
8,59,Female,Single,Engineering,DevOps Engineer,3,9185,7,0,1,39,Yes,16,3,3,1,2,2,4,3,6,3,23,8.9,Yes
9,49,Non-Binary,Married,Engineering,QA Engineer,2,6187,13,7,13,16,No,16,2,2,1,4,2,4,2,2,3,14,3.4,No
10,57,Female,Married,Engineering,Data Engineer,4,13813,3,0,0,16,No,26,1,2,2,1,4,3,7,2,3,22,4.1,No
11,40,Non-Binary,Married,Operations,Project Manager,1,3724,6,0,4,22,Yes,34,2,2,3,1,2,1,9,0,1,17,3.4,Yes
12,24,Male,Divorced,Operations,IT Support,3,8958,2,0,1,4,No,16,3,3,3,3,4,3,1,0,3,20,9.1,No
